Language,File,Level,SubLevel,PromptType,Question,Question_Sub,Answer,Answer_Sub
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 1 | 介绍","SUBLEVEL 1","warmup","你叫什么名字？","nǐ jiào shénme míngzi?","我叫……","wǒ jiào ……"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 4 | 李老师的女儿","SUBLEVEL 2","discussion","她今年多大？","tā jīnnián duō dà?","她今年……岁。","tā jīnnián …… suì"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 4 | 李老师的女儿","SUBLEVEL 3","follow_up","她做什么工作？","tā zuò shénme gōngzuò?","她是学生。","tā shì xuéshēng"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 4 | 李老师的女儿","SUBLEVEL 3","follow_up","她做什么工作？","tā zuò shénme gōngzuò?","她是……","tā shì ……"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 4 | 李老师的女儿","SUBLEVEL 4","practice","她在哪儿学习/工作？","tā zài nǎr xuéxí / gōngzuò?","她在学校学习。","tā zài xuéxiào xuéxí"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 4 | 李老师的女儿","SUBLEVEL 4","practice","她在哪儿学习/工作？","tā zài nǎr xuéxí / gōngzuò?","她在公司工作。","tā zài gōngsī gōngzuò"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 4 | 李老师的女儿","SUBLEVEL 5","wrapup","你知道李老师的女儿喜欢什么吗？","nǐ zhīdào lǐ lǎoshī de nǚ'ér xǐhuan shénme ma?","不知道。","bù zhīdào"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 5 | 我的学校","SUBLEVEL 1","warmup","你的学校大吗？","nǐ de xuéxiào dà ma?","很大。","hěn dà"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 5 | 我的学校","SUBLEVEL 1","warmup","你的学校大吗？","nǐ de xuéxiào dà ma?","不太大。","bú tài dà"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 5 | 我的学校","SUBLEVEL 2","discussion","你几点去学校？","nǐ jǐ diǎn qù xuéxiào?","上午八点。","shàngwǔ bā diǎn"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 5 | 我的学校","SUBLEVEL 2","discussion","你几点去学校？","nǐ jǐ diǎn qù xuéxiào?","上午九点。","shàngwǔ jiǔ diǎn"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 5 | 我的学校","SUBLEVEL 3","follow_up","你喜欢什么学什么？","nǐ xǐhuān xué shénme?","我喜欢学汉语。","wǒ xǐhuān xué hànyǔ"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 5 | 我的学校","SUBLEVEL 3","follow_up","你喜欢什么学什么？","nǐ xǐhuān xué shénme?","我喜欢学英语。","wǒ xǐhuān xué yīngyǔ"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 5 | 我的学校","SUBLEVEL 4","practice","你的学校有多少学生？","nǐ de xuéxiào yǒu duōshao xuéshēng?","有很多学生。","yǒu hěn duō xuéshēng"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 5 | 我的学校","SUBLEVEL 4","practice","你的学校有多少学生？","nǐ de xuéxiào yǒu duōshao xuéshēng?","有一千多个学生。","yǒu yì qiān duō gè xuéshēng"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 5 | 我的学校","SUBLEVEL 5","wrapup","你的学校有哪国老师？","nǐ de xuéxiào yǒu nǎ guó lǎoshī?","有中国老师。","yǒu zhōngguó lǎoshī"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 5 | 我的学校","SUBLEVEL 5","wrapup","你的学校有哪国老师？","nǐ de xuéxiào yǒu nǎ guó lǎoshī?","也有越南老师。","yě yǒu yuènán lǎoshī"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 5 | 我的学校","SUBLEVEL 6","discussion","你的学校有哪国学生？","nǐ de xuéxiào yǒu nǎ guó xuéshēng?","有越南学生。","yǒu yuènán xuéshēng"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 5 | 我的学校","SUBLEVEL 6","discussion","你的学校有哪国学生？","nǐ de xuéxiào yǒu nǎ guó xuéshēng?","也有中国学生。","yě yǒu zhōngguó xuéshēng"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 5 | 我的学校","SUBLEVEL 7","practice","你的学校里有商店吗？","nǐ de xuéxiào lǐ yǒu shāngdiàn ma?","有。","yǒu"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 5 | 我的学校","SUBLEVEL 7","practice","你的学校里有商店吗？","nǐ de xuéxiào lǐ yǒu shāngdiàn ma?","没有。","méi yǒu"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 5 | 我的学校","SUBLEVEL 8","follow_up","学校的前面有什么？","xuéxiào de qiánmiàn yǒu shénme?","有咖啡店。","yǒu kāfēidiàn"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 5 | 我的学校","SUBLEVEL 8","follow_up","学校的前面有什么？","xuéxiào de qiánmiàn yǒu shénme?","有书店。","yǒu shūdiàn"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 5 | 我的学校","SUBLEVEL 8","follow_up","学校的前面有什么？","xuéxiào de qiánmiàn yǒu shénme?","有商店。","yǒu shāngdiàn"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 5 | 我的学校","SUBLEVEL 9","wrapup","你爱你的学校吗？","nǐ ài nǐ de xuéxiào ma?","爱。","ài"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 5 | 我的学校","SUBLEVEL 9","wrapup","你爱你的学校吗？","nǐ ài nǐ de xuéxiào ma?","很爱。","hěn ài"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 6 | 东西在哪儿？","SUBLEVEL 1","warmup","你的电脑/汉语书/杯子在哪儿？","nǐ de diànnǎo / hànyǔ shū / bēizi zài nǎr?","我的电脑在桌子上。","wǒ de diànnǎo zài zhuōzi shàng"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 6 | 东西在哪儿？","SUBLEVEL 1","warmup","你的电脑/汉语书/杯子在哪儿？","nǐ de diànnǎo / hànyǔ shū / bēizi zài nǎr?","我的汉语书在桌子上。","wǒ de hànyǔ shū zài zhuōzi shàng"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 6 | 东西在哪儿？","SUBLEVEL 1","warmup","你的电脑/汉语书/杯子在哪儿？","nǐ de diànnǎo / hànyǔ shū / bēizi zài nǎr?","我的杯子在椅子下面。","wǒ de bēizi zài yǐzi xiàmiàn"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 6 | 东西在哪儿？","SUBLEVEL 2","discussion","桌子上有什么？","zhuōzi shàng yǒu shénme?","桌子上有一本书和一台电脑。","zhuōzi shàng yǒu yì běn shū hé yì tái diànnǎo"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 6 | 东西在哪儿？","SUBLEVEL 3","follow_up","桌子上有汉语书吗？","zhuōzi shàng yǒu hànyǔ shū ma?","有。","yǒu"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 7 | 喝茶","SUBLEVEL 1","warmup","你喜欢喝哪国茶？","nǐ xǐhuān hē nǎ guó chá?","我喜欢中国茶。","wǒ xǐhuān zhōngguó chá"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 7 | 喝茶","SUBLEVEL 1","warmup","你喜欢喝哪国茶？","nǐ xǐhuān hē nǎ guó chá?","我喜欢越南茶。","wǒ xǐhuān yuènán chá"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 7 | 喝茶","SUBLEVEL 2","discussion","哪种茶好喝？","nǎ zhǒng chá hǎohē?","中国茶很好喝。","zhōngguó chá hěn hǎohē"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 7 | 喝茶","SUBLEVEL 2","discussion","哪种茶好喝？","nǎ zhǒng chá hǎohē?","越南茶很好喝。","yuènán chá hěn hǎohē"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 7 | 喝茶","SUBLEVEL 3","follow_up","你什么时候喝茶？","nǐ shénme shíhou hē chá?","我上午喝茶。","wǒ shàngwǔ hē chá"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 7 | 喝茶","SUBLEVEL 3","follow_up","你什么时候喝茶？","nǐ shénme shíhou hē chá?","我中午喝茶。","wǒ zhōngwǔ hē chá"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 7 | 喝茶","SUBLEVEL 3","follow_up","你什么时候喝茶？","nǐ shénme shíhou hē chá?","我吃饭后喝茶。","wǒ chīfàn hòu hē chá"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 7 | 喝茶","SUBLEVEL 4","practice","你和谁喝茶？","nǐ hé shéi hē chá?","我和朋友一起喝茶。","wǒ hé péngyou yìqǐ hē chá"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 8 | 你喜欢做什么？","SUBLEVEL 1","warmup","你喜欢做什么？","nǐ xǐhuān zuò shénme?","我喜欢看电影。","wǒ xǐhuān kàn diànyǐng"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 8 | 你喜欢做什么？","SUBLEVEL 1","warmup","你喜欢做什么？","nǐ xǐhuān zuò shénme?","我喜欢看电视。","wǒ xǐhuān kàn diànshì"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 8 | 你喜欢做什么？","SUBLEVEL 1","warmup","你喜欢做什么？","nǐ xǐhuān zuò shénme?","我喜欢去旅游。","wǒ xǐhuān qù lǚyóu"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 8 | 你喜欢做什么？","SUBLEVEL 1","warmup","你喜欢做什么？","nǐ xǐhuān zuò shénme?","我喜欢看书。","wǒ xǐhuān kàn shū"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 8 | 你喜欢做什么？","SUBLEVEL 1","warmup","你喜欢做什么？","nǐ xǐhuān zuò shénme?","我喜欢做越南菜。","wǒ xǐhuān zuò yuènán cài"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 8 | 你喜欢做什么？","SUBLEVEL 2","discussion","为什么喜欢？","wèishénme xǐhuān?","因为很有意思。","yīnwèi hěn yǒuyìsi"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 8 | 你喜欢做什么？","SUBLEVEL 2","discussion","为什么喜欢？","wèishénme xǐhuān?","因为看电视、看书对学习汉语有帮助。","yīnwèi kàn diànshì, kàn shū duì xuéxí hànyǔ yǒu bāngzhù"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 8 | 你喜欢做什么？","SUBLEVEL 3","follow_up","你什么时候看电影/看电视/看书？","nǐ shénme shíhou kàn diànyǐng / kàn diànshì / kàn shū?","星期六/星期天。","xīngqīliù / xīngqītiān"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 8 | 你喜欢做什么？","SUBLEVEL 3","follow_up","你什么时候看电影/看电视/看书？","nǐ shénme shíhou kàn diànyǐng / kàn diànshì / kàn shū?","上午/中午/下午/晚上。","shàngwǔ / zhōngwǔ / xiàwǔ / wǎnshang"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 9 | 你每天做什么？","SUBLEVEL 1","warmup","你几点起床？","nǐ jǐ diǎn qǐchuáng?","我七点起床。","wǒ qī diǎn qǐchuáng"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 9 | 你每天做什么？","SUBLEVEL 1","warmup","你几点起床？","nǐ jǐ diǎn qǐchuáng?","我六点起床。","wǒ liù diǎn qǐchuáng"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 9 | 你每天做什么？","SUBLEVEL 2","discussion","你早上做什么？","nǐ zǎoshang zuò shénme?","我吃早饭。","wǒ chī zǎofàn"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 9 | 你每天做什么？","SUBLEVEL 2","discussion","你早上做什么？","nǐ zǎoshang zuò shénme?","我去学校。","wǒ qù xuéxiào"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 9 | 你每天做什么？","SUBLEVEL 3","follow_up","你早上/中午/晚上几点吃饭？在哪儿吃？","nǐ zǎoshang / zhōngwǔ / wǎnshang jǐ diǎn chīfàn? zài nǎr chī?","我中午十一点吃饭。","wǒ zhōngwǔ shíyī diǎn chīfàn"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 9 | 你每天做什么？","SUBLEVEL 3","follow_up","你早上/中午/晚上几点吃饭？在哪儿吃？","nǐ zǎoshang / zhōngwǔ / wǎnshang jǐ diǎn chīfàn? zài nǎr chī?","我在家/学校吃饭。","wǒ zài jiā / xuéxiào chīfàn"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 9 | 你每天做什么？","SUBLEVEL 4","practice","晚上做什么？","wǎnshang zuò shénme?","我看书。","wǒ kàn shū"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 9 | 你每天做什么？","SUBLEVEL 4","practice","晚上做什么？","wǎnshang zuò shénme?","我看电视。","wǒ kàn diànshì"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 9 | 你每天做什么？","SUBLEVEL 4","practice","晚上做什么？","wǎnshang zuò shénme?","我学习汉语。","wǒ xuéxí hànyǔ"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 9 | 你每天做什么？","SUBLEVEL 5","wrapup","你几点睡觉？","nǐ jǐ diǎn shuìjiào?","我十点睡觉。","wǒ shí diǎn shuìjiào"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 10 | 吃饭","SUBLEVEL 1","warmup","你喜欢吃什么？","nǐ xǐhuān chī shénme?","我喜欢吃米饭。","wǒ xǐhuān chī mǐfàn"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 10 | 吃饭","SUBLEVEL 1","warmup","你喜欢吃什么？","nǐ xǐhuān chī shénme?","我喜欢吃面条。","wǒ xǐhuān chī miàntiáo"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 10 | 吃饭","SUBLEVEL 1","warmup","你喜欢吃什么？","nǐ xǐhuān chī shénme?","我喜欢吃羊肉。","wǒ xǐhuān chī yángròu"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 10 | 吃饭","SUBLEVEL 2","discussion","你会做什么菜？","nǐ huì zuò shénme cài?","我会做越南菜/中国菜/美国菜。","wǒ huì zuò yuènán cài / zhōngguó cài / měiguó cài"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 10 | 吃饭","SUBLEVEL 2","discussion","你会做什么菜？","nǐ huì zuò shénme cài?","我不会做饭。","wǒ bú huì zuòfàn"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 10 | 吃饭","SUBLEVEL 3","follow_up","你家谁做饭？","nǐ jiā shéi zuòfàn?","我做饭。","wǒ zuòfàn"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 10 | 吃饭","SUBLEVEL 3","follow_up","你家谁做饭？","nǐ jiā shéi zuòfàn?","我妈妈做饭。","wǒ māma zuòfàn"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 10 | 吃饭","SUBLEVEL 4","practice","你在哪儿吃？","nǐ zài nǎr chī?","我在家吃。","wǒ zài jiā chī"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 10 | 吃饭","SUBLEVEL 4","practice","你在哪儿吃？","nǐ zài nǎr chī?","我在外面吃。","wǒ zài wàimiàn chī"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 10 | 吃饭","SUBLEVEL 5","wrapup","你饭后吃水果吗？","nǐ fànhòu chī shuǐguǒ ma?","吃饭后，我吃水果。","chīfàn hòu, wǒ chī shuǐguǒ"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 11 | 买东西","SUBLEVEL 1","warmup","你经常去哪儿买东西？","nǐ jīngcháng qù nǎr mǎi dōngxi?","我去商店买东西。","wǒ qù shāngdiàn mǎi dōngxi"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 11 | 买东西","SUBLEVEL 1","warmup","你经常去哪儿买东西？","nǐ jīngcháng qù nǎr mǎi dōngxi?","我在网上买东西。","wǒ zài wǎngshàng mǎi dōngxi"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 11 | 买东西","SUBLEVEL 2","discussion","你喜欢买什么？","nǐ xǐhuān mǎi shénme?","我喜欢买衣服/手表。","wǒ xǐhuān mǎi yīfu / shǒubiǎo"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 11 | 买东西","SUBLEVEL 2","discussion","你喜欢买什么？","nǐ xǐhuān mǎi shénme?","我喜欢买好吃的东西。","wǒ xǐhuān mǎi hǎochī de dōngxi"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 11 | 买东西","SUBLEVEL 3","follow_up","你什么时候去买东西？","nǐ shénme shíhou qù mǎi dōngxi?","星期六/星期天。","xīngqīliù / xīngqītiān"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 11 | 买东西","SUBLEVEL 3","follow_up","你什么时候去买东西？","nǐ shénme shíhou qù mǎi dōngxi?","上午/中午/下午/晚上。","shàngwǔ / zhōngwǔ / xiàwǔ / wǎnshang"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 12 | 时间","SUBLEVEL 1","warmup","今天几月几号？","jīntiān jǐ yuè jǐ hào?","今天四月六号。","jīntiān sì yuè liù hào"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 12 | 时间","SUBLEVEL 2","discussion","现在几点？","xiànzài jǐ diǎn?","现在下午三点。","xiànzài xiàwǔ sān diǎn"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 12 | 时间","SUBLEVEL 2","discussion","现在几点？","xiànzài jǐ diǎn?","现在中午十二点半。","xiànzài zhōngwǔ shí'èr diǎn bàn"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 12 | 时间","SUBLEVEL 3","follow_up","你几点起床/睡觉/吃早饭/午饭？","nǐ jǐ diǎn qǐchuáng / shuìjiào / chī zǎofàn / chī wǔfàn?","我十一点。","wǒ shíyī diǎn"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 12 | 时间","SUBLEVEL 3","follow_up","你几点起床/睡觉/吃早饭/午饭？","nǐ jǐ diǎn qǐchuáng / shuìjiào / chī zǎofàn / chī wǔfàn?","我十点。","wǒ shí diǎn"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 13 | 天气","SUBLEVEL 1","warmup","今天天气怎么样？","jīntiān tiānqì zěnmeyàng?","很热。","hěn rè"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 13 | 天气","SUBLEVEL 1","warmup","今天天气怎么样？","jīntiān tiānqì zěnmeyàng?","很冷。","hěn lěng"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 13 | 天气","SUBLEVEL 1","warmup","今天天气怎么样？","jīntiān tiānqì zěnmeyàng?","不太热。","bú tài rè"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 13 | 天气","SUBLEVEL 1","warmup","今天天气怎么样？","jīntiān tiānqì zěnmeyàng?","不冷也不热。","bù lěng yě bù rè"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 13 | 天气","SUBLEVEL 2","discussion","你喜欢什么天气？","nǐ xǐhuān shénme tiānqì?","我喜欢冷/热的天气。","wǒ xǐhuān lěng / rè de tiānqì"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 13 | 天气","SUBLEVEL 2","discussion","你喜欢什么天气？","nǐ xǐhuān shénme tiānqì?","我喜欢晴天。","wǒ xǐhuān qíngtiān"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 13 | 天气","SUBLEVEL 3","follow_up","下雨天你做什么？","xiàyǔ tiān nǐ zuò shénme?","我在家看电影。","wǒ zài jiā kàn diànyǐng"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 14 | 怎么去？","SUBLEVEL 1","warmup","你会开车吗？","nǐ huì kāichē ma?","我会开车。","wǒ huì kāichē"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 14 | 怎么去？","SUBLEVEL 1","warmup","你会开车吗？","nǐ huì kāichē ma?","我不会开车。","wǒ bú huì kāichē"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 14 | 怎么去？","SUBLEVEL 2","discussion","你怎么去学校/北京/……？","nǐ zěnme qù xuéxiào / Běijīng /…?","我坐出租车去。","wǒ zuò chūzūchē qù"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 14 | 怎么去？","SUBLEVEL 2","discussion","你怎么去学校/北京/……？","nǐ zěnme qù xuéxiào / Běijīng /…?","我坐公共汽车去。","wǒ zuò gōnggòngqìchē qù"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 14 | 怎么去？","SUBLEVEL 3","follow_up","要多长时间？","yào duō cháng shíjiān?","要二十分钟。","yào èrshí fēnzhōng"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 14 | 怎么去？","SUBLEVEL 3","follow_up","要多长时间？","yào duō cháng shíjiān?","要一个小时。","yào yí gè xiǎoshí"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 14 | 怎么去？","SUBLEVEL 4","practice","你为什么不开车来学校？","nǐ wèishénme bù kāichē lái xuéxiào?","我不会开车。","wǒ bú huì kāichē"
"Chinese","Chinese_level_1-30_LucyLMS_Ready.docx","LEVEL 15 | 看电影","SUBLEVEL 1","warmup","你喜欢看电影吗？","nǐ xǐhuān kàn diànyǐng ma?","很喜欢。","hěn xǐhuān"
