Language,File,Level,SubLevel,PromptType,Question,Question_Sub,Answer,Answer_Sub
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 1 | 自己紹介","SUBLEVEL 1","warmup","名前","","フルネーム",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 22 | 祝日","SUBLEVEL 2","ice_breaker","特別な食べ物","","祝日に食べるもの",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 22 | 祝日","SUBLEVEL 3","discussion","過ごし方","","イベントの日",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 22 | 祝日","SUBLEVEL 4","follow_up","伝統的な行事","","お祭りや習慣",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 22 | 祝日","SUBLEVEL 5","practice","祝日の説明","","外国人に祝日を説明する練習",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 22 | 祝日","SUBLEVEL 6","wrapup","まとめ","","祝日のトークまとめ",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 23 | 日常問題","SUBLEVEL 1","warmup","小さなトラブル","","よくある困りごと",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 23 | 日常問題","SUBLEVEL 2","ice_breaker","忘れ物","","鍵や財布",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 23 | 日常問題","SUBLEVEL 3","discussion","遅刻","","時間に遅れたとき",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 23 | 日常問題","SUBLEVEL 4","follow_up","助けを求める","","手伝ってください",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 23 | 日常問題","SUBLEVEL 5","practice","謝罪と説明","","トラブルのときの言い訳練習",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 23 | 日常問題","SUBLEVEL 6","wrapup","まとめ","","トラブル解決のまとめ",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 24 | 計画","SUBLEVEL 1","warmup","明日の計画","","近い未来の予定",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 24 | 計画","SUBLEVEL 2","ice_breaker","来月の予定","","少し先のイベント",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 24 | 計画","SUBLEVEL 3","discussion","将来の夢","","やってみたいこと",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 24 | 計画","SUBLEVEL 4","follow_up","準備","","計画のために必要なこと",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 24 | 計画","SUBLEVEL 5","practice","目標設定","","これからの予定を具体的に話す練習",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 24 | 計画","SUBLEVEL 6","wrapup","まとめ","","計画のトークまとめ",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 25 | テクノロジー","SUBLEVEL 1","warmup","使うデバイス","","スマホやパソコン",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 25 | テクノロジー","SUBLEVEL 2","ice_breaker","好きなアプリ","","よく使うSNS",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 25 | テクノロジー","SUBLEVEL 3","discussion","便利なところ","","生活がどう変わったか",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 25 | テクノロジー","SUBLEVEL 4","follow_up","困るところ","","使いすぎの注意",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 25 | テクノロジー","SUBLEVEL 5","practice","アプリの紹介","","おすすめのアプリを説明する練習",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 25 | テクノロジー","SUBLEVEL 6","wrapup","まとめ","","テクノロジーのまとめ",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 26 | 英語学習","SUBLEVEL 1","warmup","学習理由","","なぜ英語を勉強しますか",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 26 | 英語学習","SUBLEVEL 2","ice_breaker","学習方法","","私の勉強法",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 26 | 英語学習","SUBLEVEL 3","discussion","日常での使用","","どこで英語を使いますか",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 26 | 英語学習","SUBLEVEL 4","follow_up","困難","","難しいところ",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 26 | 英語学習","SUBLEVEL 5","practice","感情","","英語を話すときの気持ち",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 26 | 英語学習","SUBLEVEL 6","wrapup","学習ストーリー","","私の英語学習のお話",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 27 | 仕事と生活","SUBLEVEL 1","warmup","忙しい日と暇な日","","毎日のスケジュール",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 27 | 仕事と生活","SUBLEVEL 2","ice_breaker","バランス","","仕事とプライベートのバランス",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 27 | 仕事と生活","SUBLEVEL 3","discussion","ストレス","","疲れたとき",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 27 | 仕事と生活","SUBLEVEL 4","follow_up","解決方法","","リラックスのやり方",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 27 | 仕事と生活","SUBLEVEL 5","practice","アドバイス","","良い生活バランスについて",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 27 | 仕事と生活","SUBLEVEL 6","wrapup","生活トーク","","私のライフスタイルのお話",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 28 | 簡単な意見","SUBLEVEL 1","warmup","好きと嫌い","","自分の好み",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 28 | 簡単な意見","SUBLEVEL 2","ice_breaker","A vs B","","どちらが好きですか",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 28 | 簡単な意見","SUBLEVEL 3","discussion","食べ物","","食事についての意見",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 28 | 簡単な意見","SUBLEVEL 4","follow_up","活動","","行動についての意見",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 28 | 簡単な意見","SUBLEVEL 5","practice","選択","","理由を言って選ぶ練習",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 28 | 簡単な意見","SUBLEVEL 6","wrapup","まとめ","","意見表明のまとめ",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 29 | 人生の変化","SUBLEVEL 1","warmup","過去と現在","","昔と今の違い",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 29 | 人生の変化","SUBLEVEL 2","ice_breaker","小さな変化","","最近変わったこと",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 29 | 人生の変化","SUBLEVEL 3","discussion","良い変化","","嬉しかった変化",""
